N,time
17,1
17,1
17,1
17,1
17,7
17,1
17,1
17,63
17,7
17,127
17,127
17,63
17,1
17,127
17,31
17,6143
17,1
17,1
17,1
17,1
17,255
17,21503
17,1
17,1
17,1
17,1
17,1
17,1
17,15
17,15
17,63
17,127
17,1
17,1
17,127
17,6143
17,7
17,1
17,127
17,1
17,1
17,22527
17,1
17,1
17,1
17,1
17,127
17,63
17,63
17,127
17,1
17,1
17,127
17,6143
17,127
17,1
17,15
17,1
17,255
17,20479
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,63
17,63
17,15
17,1
17,63
17,6143
17,127
17,1
17,63
17,1
17,1
17,19455
17,1
17,63
17,1
17,1
17,1
17,1
17,255
17,1
17,3
17,1
17,1
17,6143
17,127
17,1
17,127
17,1
17,63
17,18431
17,1
17,1
17,1
17,1
17,1
17,1
17,127
17,3
17,1
17,1
17,63
17,1
17,31
17,6143
17,1
17,7
17,3
17,127
17,1
17,18431
17,15
17,1
17,7
17,1
17,63
17,1
17,127
17,1
17,255
17,1
17,1
17,255
17,1
17,127
17,1
17,5119
17,31
17,1
17,127
17,1
17,63
17,16383
17,1
17,1
17,1
17,31
17,1
17,1
17,1
17,1
17,255
17,127
17,127
17,1
17,31
17,4095
17,1
17,15359
17,1
17,1
17,1
17,1
17,1
17,1
17,127
17,1
17,31
17,1
17,127
17,1
17,1
17,1
17,63
17,1
17,63
17,4095
17,1
17,15359
17,1
17,255
17,1
17,1
17,1
17,127
17,1
17,127
17,1
17,31
18,255
18,1
18,63
18,1
18,31
18,1
18,31
18,12287
18,1
18,13311
18,63
18,1
18,1
18,1
18,63
18,1
18,127
18,1
18,1
18,1
18,1
18,1
18,127
18,1
18,127
18,1
18,15
18,11263
18,1
18,1
18,1
18,1
18,1
18,13311
18,1
18,1
18,1
18,1
18,1
18,1
18,127
18,31
18,63
18,1
18,127
18,511
18,1
18,10239
18,1
18,11263
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,127
18,1
18,1
18,511
18,255
18,7167
18,1
18,255
18,1
18,127
18,1
18,1
18,1
18,31
18,1
18,63
18,1
18,11263
18,127
18,1
18,63
18,511
18,1
18,7167
18,255
18,1
18,127
18,1
18,63
18,1
18,1
18,15
18,1
18,31
18,1
18,11263
18,1
18,1
18,1
18,1
18,31
18,511
18,63
18,7167
18,1
18,1
18,1
18,1
18,63
18,1
18,127
18,1
18,127
18,1
18,63
18,1
18,1
18,11263
18,255
18,255
18,255
18,6143
18,127
18,11263
18,1
18,1
18,1
18,14335
18,1
18,511
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,127
18,5119
18,1
18,63
18,1
18,1
18,1
18,31
18,1
18,14335
18,7
18,1
18,63
18,14335
18,127
18,255
18,63
18,1
18,63
18,5119
18,127
18,1
18,31
18,3
18,1
18,1
18,1
18,14335
18,127
18,14335
18,63
18,1
18,1
18,1
18,127
18,1
18,1
18,1
18,1
18,5119
18,255
18,1
18,1
18,1
18,1
18,1
18,1
18,14335
18,1
18,14335
18,1
18,1
18,1
18,1
18,63
18,1
18,63
18,3071
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,7
18,13311
18,1
18,14335
18,31
18,1
18,31
18,1
18,127
18,1
18,1
18,1023
18,1
18,1
18,1
18,127
18,1
18,255
18,1
18,14335
18,1
18,14335
18,1
18,1
18,1
18,1
18,1
18,1
18,63
18,1
18,1
18,127
18,1
18,31
18,1
18,1
18,31
18,7
18,63
18,127
18,1
18,127
18,1
18,15359
18,1
18,14335
18,1
18,1
18,1
18,1
18,1
18,1
18,127
18,1
18,31
18,1
18,15
18,1
18,1
18,127
18,1
18,127
18,1
18,15359
18,1
18,14335
18,1
18,1
18,1
18,1
18,255
18,1
18,127
18,1
18,15
18,31
18,63
18,63
18,1
18,1
18,63
18,14335
18,1
18,12287
18,1
18,1023
18,1
18,1
18,1
18,1
18,1
18,1
18,127
18,1
18,1
18,1
18,1
18,31
18,31
18,1
18,1
18,13311
18,1
18,12287
18,1
18,255
18,1
18,3
18,15
18,1023
18,127
18,127
18,63
18,1
18,127
18,1
18,15
18,1
18,63
18,13311
18,1
18,13311
18,127
18,127
18,127
18,1
18,1
18,1023
18,63
18,1
18,1
18,1
18,127
18,1
18,1
18,31
18,1
18,1
18,7
18,13311
18,1
18,13311
18,127
18,127
18,127
18,1
18,127
18,255
18,1
